ID ; Возраст ; Тип игры ; Название игры ; Проблема поведения ; Цель ; Краткое описание ; Пошаговая инструкция ; Формат ; Вопросы для обсуждения ; Роль взрослого / как себя вести ; Подготовка / условия для игры ; Источник ; Автор / организация ; Год ;Риски/ограничения;;;
248; 7–9 лет ; Подвижная, эмоциональная ; Ладонь в ладонь ; Развивать координацию, доверие и умение действовать в паре ; Дети в парах двигаются по комнате, прижав ладони друг к другу, не размыкая контакт ; 1. Разбейте участников на пары. 2. Попросите прижать ладони друг к другу. 3. Дайте задание пройти по комнате, обойти препятствия или выполнить простые движения, не размыкая ладони. 4. Поменяйте пары и обсудите ощущения. ; Группа детей, можно родитель–ребенок ; «С кем тебе было идти легче всего?», «Что сложнее — вести или следовать?» ;" Следить, чтобы пары не толкались и не тянули друг друга слишком сильно; не подшучивать над неловкостью; давать время привыкнуть. ";" Просторное помещение, возможно несколько «препятствий» (конусы, стулья); объяснить, что это игра про команду и доверие. "; Игра «Ладонь в ладонь» ; Педагоги, психологи ; 2019–2025 ; Описание игры в сборнике коммуникативных упражнений[web:119];Если игра затрагивает тему секретов, мягко проговорите, что есть секреты безопасные, а есть такие, с которыми важно приходить к взрослым;;;
249; 7–9 лет ; Эмоциональная, когнитивная ; 7 игр?колесо ; Дать ребёнку набор проверенных способов помочь себе в разных состояниях ; Ребенок делает «колесо помощи»: в каждом секторе — одна знакомая ему игра/упражнение для регулирования состояния ; 1. Нарисуйте круг и разделите его на 6–8 секторов. 2. Вспомните уже знакомые ребёнку игры и техники (дыхание, «остров спокойствия», «волшебные мешочки», «злой мяч», «цветное дыхание» и т.п.). 3. Впишите или нарисуйте по одной технике в сектор. 4. Договоритесь, что при тяжёлом состоянии он может «крутить» колесо и выбирать инструмент. ; Родитель–ребенок ; «Какой сектор тебе кажется самым полезным?», «Что бы ты добавил в своё колесо позже?» ;" Не перегружать колесо слишком сложными пунктами; не заставлять всегда пользоваться им; хвалить за любые попытки обратиться к нему. ";" Бумага, циркуль/шаблон круга; лучше делать, когда уже есть арсенал игр; можно повесить на стену. "; Суммирование техник саморегуляции в игровой форме — адаптация ; Психологи ; 2024–2025 ; Практические рекомендации по играм и саморегуляции[web:36][web:117];"Не заставляйте ребёнка обсуждать секреты других людей; фокусируйтесь только на том, что касается его самого";;;
250; 7–9 лет ; Коммуникативная, эмоциональная ; Возьми игрушку ; Тренировать умение вежливо просить и договариваться ; Дети по очереди просят нужную игрушку, учась использовать вежливые формы ; 1. Положите в центр круга несколько игрушек. 2. Один ребёнок (ведущий) говорит: «Возьми, пожалуйста, … (машинку, куклу…)». 3. Остальные должны вежливо попросить друг друга обменяться игрушками, если нужной им не хватает. 4. В конце обсудите, какие фразы помогали договариваться. ; Группа детей ; «Какие слова чаще всего помогали получить то, что хочешь?», «Как ты себя чувствуешь, когда у тебя вежливо просят?» ;" Следить, чтобы не возникало грубых выхватываний; поддерживать использование «пожалуйста», «можно ли»; не подталкивать к уступкам через стыд. ";" Набор игрушек, пространство для круга; игра особенно полезна для детей, которым сложно просить и ждать. "; Подвижная игра «Возьми игрушку» — адаптация ; Педагоги, психологи ; 2019–2025 ; Описание игры в картотеке коммуникативных игр для младших школьников[web:119];После эмоциональных игр о семье обязательно сделайте что?то уютное вместе, чтобы ребёнок почувствовал поддержку и близость;;;
251; 7–9 лет ; Эмоциональная, когнитивная ; Ступеньки спокойствия ; Научить ребёнка по шагам переходить от сильного напряжения к более спокойному состоянию ; Ребенок вместе со взрослым составляет «лестницу» из 3–5 шагов, которые помогают ему успокаиваться ; 1. Нарисуйте лестницу из 3–5 ступенек. 2. Обсудите, что помогает ему, когда он злится/боится (подышать, уйти в комнату, обнять игрушку, попить воду). 3. Расположите выбранные действия по ступенькам — от первого шага к следующему. 4. Вспоминайте лестницу после сложных ситуаций, отмечая, что получилось сделать. ; Родитель–ребенок ; «Какой шаг тебе легче всего сделать?», «Какой самый трудный, но важный?», «Хочешь ли ты поменять порядок ступенек?» ;" Не использовать лестницу как претензию («почему не сделал по шагам?»); не перегружать количеством шагов; хвалить за любой выполненный пункт. ";" Бумага, фломастеры; делать в спокойный момент, а не в разгар конфликта; можно повесить рядом с кроватью или столом. "; Упражнения для формирования саморегуляции (метафора «лестницы») — адаптация ; Психологи ; 2023–2025 ; Сборники упражнений для саморегуляции[web:82][web:122];"В играх про школу и оценки избегайте фраз «надо просто стараться больше»; лучше обсудите, какая конкретно помощь ему нужна";;;
252; 7–9 лет ; Коммуникативная ; Телеграмма ; Развивать умение коротко и чётко выражать просьбы и чувства ; Ребенок учится составлять «телеграммы» — короткие сообщения с важным смыслом ; 1. Объясните, что телеграмма — очень короткое сообщение по важному делу. 2. Предложите ситуации: попросить помощи, позвать в гости, извиниться, поблагодарить. 3. Пусть ребёнок составит по 1–2 телеграммы (5–7 слов) для каждой. 4. Можно разыграть, как их «отправляют» и «получают». ; Родитель–ребенок, группа ; «Какие слова обязательно должны быть в телеграмме?извинении/просьбе?», «Что тебе было легче писать — спасибо, прости или помоги?» ;" Не исправлять стилистически, главное — смысл; не высмеивать формулировки; позволить переписать вариант, если сам захочет. ";" Бумага или карточки; спокойная обстановка; можно хранить удачные формулировки как подсказки. "; Коммуникативные игры для младших школьников — адаптация сюжета «телеграммы» ; Педагоги ; 2015–2024 ; Подборки игр на развитие коммуникации[web:116][web:125];"Не заставляйте ребёнка сразу придумывать «идеальное поведение»; предложите выбрать один небольшой шаг, который он действительно готов попробовать";;;
253; 7–9 лет ; Творческая, эмоциональная ; Мой щит ; Помочь ребёнку почувствовать внутреннюю защищённость и придумать способы защиты своих границ ; Ребенок рисует «щит», который помогает ему в сложных ситуациях, и наполняет его символами поддержки ; 1. Нарисуйте большой щит на листе или вырежьте форму из картона. 2. Попросите ребёнка подумать, от чего этот щит его защищает (насмешки, страх, обида). 3. Пусть заполнит щит символами поддержки: люди, вещи, качества, которые помогают ему выдерживать трудности. 4. Обсудите, как он может «вспоминать» свой щит в реальности. ; Родитель–ребенок ; «От чего тебе особенно нужен щит?», «Кто или что обязательно должен быть на твоём щите?», «Как ты поймёшь, что щит сработал?» ;" Не использовать тему защиты, чтобы усиливать тревогу; не обесценивать «слабые места»; уважать, если ребёнок не хочет всё показывать. ";" Картон/бумага, фломастеры, наклейки; подходящее спокойное время; можно повесить щит в комнате или сфотографировать. "; Арт?терапевтические техники для детей 7–9 лет («щит», «герб») — адаптация ; Арт?терапевты ; 2020–2025 ; Описание арт?техник для школьников[web:115][web:124];"Если ребёнок рассказывает о травле или насмешках, не задавайте вопросов в духе «а ты сам не виноват?»; сначала полностью встаньте на его сторону";;;
254; 7–9 лет ; Подвижная, эмоциональная ; Запрещённое движение ; Развивать произвольный контроль, умение удерживать правило в активности ; Ребенок повторяет движения ведущего, кроме одного «запрещённого» ; 1. Объясните, что есть одно движение, которое нельзя повторять (например, хлопок над головой). 2. Ведущий показывает разные жесты, иногда вставляя «запрещённое». 3. Кто повторил запрещённое движение, выходит на один круг или становится помощником ведущего. 4. Можно добавить второе запрещённое движение для усложнения. ; Родитель–ребенок, группа ; «На каком движении тебе сложнее всего сдержаться?», «Что помогает помнить правило, когда весело?» ;" Не высмеивать ошибок; не делать слишком много «запретов» сразу; давать ребёнку побыть ведущим. ";" Просторное помещение; чётко показывать движения; лучше короткими раундами. "; Игры с правилами для развития самоконтроля — адаптация ; Педагоги?психологи ; 2020–2024 ; Подробное описание игры «Запрещённое движение»[web:123];"Не предлагайте в качестве решения только «не обращай внимания»; обсудите, к кому из взрослых он может обратиться и как это можно сделать";;;
255; 7–9 лет ; Эмоциональная, когнитивная ; Фокусировка ; Развивать внутреннюю саморегуляцию и умение удерживать внимание на одном объекте ; Ребенок тренируется в течение короткого времени фокусироваться на дыхании, предмете или звуке ; 1. Объясните, что сейчас будет тренировка «лампочки внимания». 2. Выберите объект: дыхание, тиканье часов, рисунок. 3. Поставьте таймер на 1–2 минуты и попросите ребёнка наблюдать только этот объект, а мысли, как облака, «пропускать мимо». 4. В конце обсудите, что помогало и что мешало. ; Родитель–ребенок ; «На что тебе легче всего смотреть/слушать 1–2 минуты?», «Какие мысли чаще всего отвлекали?» ;" Не делать упражнение слишком длинным; не ругать за отвлечения; потихоньку увеличивать время по согласованию с ребёнком. ";" Тихое место; короткие сессии до важного события или перед сном; объяснить, что это тренировка, а не экзамен. "; Упражнения «Фокусировка» для формирования саморегуляции — адаптация ; Психологи ; 2023–2025 ; Сборник упражнений на развитие саморегуляции[web:122];"Когда ребёнок делится школьными конфликтами, не требуйте немедленно «помириться любой ценой»; признавайте его чувства и границы";;;
256; 7–9 лет ; Коммуникативная ; Общий рисунок ; Развивать умение договариваться и работать в команде ; Дети вместе создают один рисунок, обсуждая, что и как рисовать ; 1. Дайте группе один большой лист. 2. Предложите договориться, что будет на картине (город, космос, парк). 3. Попросите распределить, кто что рисует, и помогать друг другу, а не зачеркивать. 4. В конце обсудите, как удавалось договариваться и что было сложно. ; Группа детей, можно семья ; «В какой момент договориться было сложнее всего?», «Что помогало не спорить, а обсуждать?» ;" Следить, чтобы никто не доминировал полностью; поддерживать голос тихих детей; не критиковать результат, фокус на процессе. ";" Большой лист, много фломастеров; 20–30 минут; хороша как групповое упражнение на сплочение. "; Коммуникативные игры для младших школьников («общий рисунок») — адаптация ; Педагоги, психологи ; 2015–2024 ; Картотеки коммуникативных игр[web:116][web:119];Не используйте игру, чтобы выведать подробности о других детях и затем обсуждать их с учителем или родителями при ребёнке;;;
257; 7–9 лет ; Творческая, эмоциональная ; Мой внутренний герой ; Укреплять ресурсы и образ «сильного Я» ; Ребенок придумывает и рисует персонажа, который помогает ему в сложных ситуациях ; 1. Попросите придумать героя (реального или фантастического), который всегда на его стороне. 2. Пусть нарисует его и подпишет 3–5 качеств героя (смелый, добрый, терпеливый, мудрый). 3. Обсудите, в каких ситуациях герой приходит ему на помощь. 4. Можно придумать короткую историю, как герой помог ему сегодня. ; Родитель–ребенок ; «Какие качества героя тебе особенно важны?», «Где в тебе самом уже есть кусочки этого героя?» ;" Не навязывать образ; не делать героя всемогущим «спасателем»; аккуратно связывать качества героя с реальными сильными сторонами ребёнка. ";" Бумага, фломастеры; спокойное время; рисунок можно хранить в дневнике или повесить на стену. "; Арт?терапевтические методики с образом героя — адаптация ; Арт?терапевты ; 2020–2025 ; Описания техник «герой», «персонаж?помощник»[web:118][web:115];Если тема игры вызывает сильное напряжение, предложите ребёнку самому решить, продолжать ли или сменить задание на более лёгкое;;;
258; 7–9 лет ; Подвижная, эмоциональная ; Море волнуется ; Тренировать умение быстро замирать и удерживать позу, выражать фантазии через тело ; Ребенок двигается как «волны», а по сигналу замирает в придуманной позе ; 1. Ведущий говорит: «Море волнуется раз, два, три… морская фигура на месте замри!» 2. Пока считает, дети двигаются волнообразно. 3. На «замри» каждый застывает в позе (животное, герой, предмет). 4. Ведущий ходит, смотрит фигуры, при желании угадывает образы. ; Группа детей, можно адаптировать для двоих ; «Какую фигуру тебе было держать легче всего?», «Что ты чувствуешь, когда долго стоишь неподвижно?» ;" Не дразнить за «неловкие» позы; не заставлять долго стоять; при желании всех можно «оживить» и не выводить из игры. ";" Просторное помещение; мягкая поверхность; лучше не с очень гиперактивными детьми в конце длинного дня. "; Игра «Море волнуется» — адаптация под самоконтроль ; Педагоги?психологи ; 2020–2024 ; Описание игры в разделе игр с правилами[web:123];"Не превращайте обсуждение ошибок в допрос («почему опять?»); задавайте вопросы, помогающие искать решения, а не искать виноватого";;;
259; 7–9 лет ; Эмоциональная, когнитивная ; Я в начале и в конце ; Помочь ребёнку отслеживать своё состояние до и после занятия/дня ; Ребенок отмечает своё настроение до начала активности и после, сравнивает ; 1. Перед занятием попросите выбрать смайлик/цвет/число от 1 до 5, отражающий его состояние. 2. Запишите это на листе или доске. 3. В конце занятия попросите повторить оценку. 4. Обсудите, что изменилось и почему. ; Родитель–ребенок, группа ; «Что изменилось внутри между “до” и “после”?», «Что именно помогло почувствовать себя по?другому?» ;" Не требовать улучшения настроения; не говорить «смотри, стало лучше, значит, всё было хорошо»; использовать как мягкую обратную связь. ";" Простая шкала (смайлики, цвета, цифры); 1–2 минуты в начале и конце; можно применять в кружках и терапии. "; Игровые приёмы оценки эмоционального состояния — адаптация ; Психологи, педагоги ; 2020–2025 ; Практические рекомендации по работе с эмоциями[web:65][web:120];"В играх на выбор и принятие решений избегайте ловушек с «правильным» ответом; важно, чтобы ребёнок видел несколько вариантов";;;
260; 7–9 лет ; Коммуникативная, эмоциональная ; Волшебный круг правил ; Формировать совместные правила безопасного общения и опору на них ; Дети вместе придумывают и оформляют круг правил, которые помогают всем чувствовать себя хорошо ; 1. Нарисуйте большой круг и предложите написать в нём 5–7 правил, которые делают общение приятным (слушаем, не обзываем, можно сказать «стоп», не смеёмся над ошибками). 2. Пусть каждый добавит рисунок?символ или слово. 3. Повесьте круг на видное место и время от времени возвращайтесь к нему. 4. Обсуждайте, какие правила уже легко соблюдать, а какие ещё тренируются. ; Группа, семья ; «Какое правило для тебя самое важное?», «Какое пока сложнее всего соблюдать?», «Какое правило ты хотел бы добавить?» ;" Не навязывать только взрослые формулировки; не использовать круг как «палку» для наказаний; помнить, что взрослые сами должны правила соблюдать. ";" Большой лист, фломастеры; совместное обсуждение; можно обновлять круг раз в несколько месяцев. "; Коммуникативные игры и ритуалы для младших школьников — адаптация ; Педагоги, психологи ; 2020–2024 ; Материалы по развитию коммуникативных навыков[web:116][web:121];В конце обязательно спросите ребёнка, что из разговора оказалось для него самым полезным или запомнившимся, и поддержите его выбор;;;
261; 7–9 лет ; Эмоциональная, когнитивная ; Светофор решений ; Учить ребёнка останавливаться перед импульсивным действием и выбирать вариант поведения ; Ребенок прогоняет ситуацию через три шага: стоп (красный), подумай (жёлтый), выбери (зелёный) ; 1. Нарисуйте светофор и подпишите шаги: красный — «стоп», жёлтый — «подумай, что я чувствую и чего хочу», зелёный — «выбери, что сделать». 2. Возьмите знакомую ситуацию (подраться, накричать, хлопнуть дверью). 3. Вместе разыграйте, как она проходит через три шага светофора. 4. Можно кратко записать готовый «маршрут» для 1–2 частых ситуаций. ; Родитель–ребенок ; «На каком цвете тебе сложнее всего задержаться?», «Какие варианты на зелёном тебе нравятся?» ;" Не использовать как обвинение в момент ссоры; сначала тренировать на примерах, а уже потом пробовать в реальности; хвалить за попытку сказать себе «стоп». ";" Бумага, фломастеры; обсуждать в спокойном состоянии; можно хранить карточки с готовыми «маршрутами». "; Игры и приёмы саморегуляции с метафорой светофора — развитие идеи «внутреннего светофора» ; Психологи ; 2018–2025 ; Игровые упражнения для обучения саморегуляции[web:77][web:82];"В играх про правила и ответственность не превращайте разговор в лекцию; лучше вместе придумайте 2–3 понятных правила, которые ребёнок сам сформулирует";;;
262; 7–9 лет ; Коммуникативная ; Пропавшее слово ; Развивать внимание к собеседнику, умение задавать уточняющие вопросы ; Ребенок рассказывает историю с «дырами», а слушатель задаёт вопросы, чтобы их заполнить ; 1. Попросите ребёнка придумать короткий рассказ, специально пропуская важные детали (кто? где? когда?). 2. Ваша задача — задавать уточняющие вопросы, пока картина не станет ясной. 3. Поменяйтесь ролями. 4. Обсудите, какие вопросы помогают лучше понимать другого. ; Родитель–ребенок, группа ; «Как тебе — когда тебя “допрашивают” вопросами?», «Какие вопросы показались добрыми и помогающими, а какие — неприятными?» ;" Следить, чтобы вопросы не звучали как допрос; поощрять открытые вопросы («что», «как»); не критиковать «нелогичные» истории. ";" Спокойная обстановка; можно записывать удачные вопросы; хорошо подходит для тренировок диалога. "; Коммуникативные игры для младших школьников — модификация заданий на уточняющие вопросы ; Педагоги, психологи ; 2015–2025 ; Подборки игр для развития общения[web:116][web:125];"Не требуйте от ребёнка мгновенного отказа от всех «плохих привычек»; выберите одну ситуацию и обсудите, как он может поступить по?другому";;;
263; 7–9 лет ; Творческая, эмоциональная ; Маска настроения ; Помогать ребёнку выражать своё состояние и примерять разные роли безопасно ; Ребенок делает простую маску (или рисует её), отражающую его текущее настроение или нужный ресурс ; 1. Предложите выбрать: сделать маску «как сейчас» или маску «каким я хочу быть» (смелым, спокойным). 2. Используйте бумажную тарелку/картон, вырежьте отверстия для глаз, раскрасьте, добавьте детали. 3. Попросите ребёнка сказать пару фраз «от имени маски». 4. Обсудите, чем он «под маской» похож и не похож на себя обычного. ; Родитель–ребенок, группа ; «Что легче — делать маску “как есть” или “как хочу”?», «Что маска может сказать такого, что тебе самому говорить труднее?» ;" Не высмеивать «страшные» или грустные маски; не заставлять долго быть в маске; аккуратно выходить из роли в конце. ";" Картон/бумажные тарелки, резинка, фломастеры; 30–40 минут; объяснить, что маска — способ показать чувства, а не скрыться навсегда. "; Арт?терапевтические техники (маскотерапия) для детей — адаптация под 7–9 лет ; Арт?терапевты ; 2020–2025 ; Обзоры маскотерапии и арт?техник[web:124][web:128];"Если ребёнок признаётся в проступке, не отвечайте сразу угрозой наказания; сначала поблагодарите за честность и только потом обсуждайте последствия";;;
264; 7–9 лет ; Подвижная, эмоциональная ; Насос и мяч ; Снимать мышечное напряжение, учить ребёнка чувствовать, как напряжение сменяется расслаблением ; Ребенок попеременно «надувается» (напрягает тело) и «сдувается» (расслабляется) по сигналу партнёра ; 1. Объясните роли: один — «насос», другой — «мяч». 2. «Насос» делает вид, что качает, а «мяч» постепенно напрягает тело и выпрямляется. 3. По сигналу «сдуваемся» «мяч» медленно расслабляется, оседая вниз. 4. Поменяйтесь ролями и обсудите ощущения. ; Родитель–ребенок ; «Что тебе приятнее — напрягаться или расслабляться?», «Где в теле больше всего чувствуется “надувание”?» ;" Следить, чтобы ребёнок не задерживал дыхание слишком долго; не доводить напряжение до дрожи; делать несколько мягких циклов. ";" Тихое место; лучше на ковре или мате; особенно полезно детям с высоким напряжением. "; Игра «Насос и мяч» в картотеке саморегуляции — адаптация под 7–9 лет ; Педагоги?психологи ;2025; Картотека игр для развития саморегуляции[web:117][web:77];"Не задавайте вопросов, которые провоцируют оправдания («почему опять так сделал?»); лучше спросите, что ему мешало поступить иначе";;;
265; 7–9 лет ; Эмоциональная, когнитивная ; Прошепчи ответ ; Тренировать торможение импульса и управление громкостью голоса ; Ребенок отвечает на вопросы только шёпотом или после сигнала, удерживая желание выкрикнуть сразу ; 1. Объясните, что это игра на «тихий ответ». 2. Задавайте простые вопросы (про школу, любимое, счёт), но договаривайтесь, что отвечать можно только шёпотом или после слов «говори». 3. Если ребёнок выкрикнул раньше — улыбайтесь и пробуйте ещё раз. 4. Поменяйтесь ролями. ; Родитель–ребенок, группа ; «Как тебе удерживать ответ внутри, пока нельзя говорить?», «Когда в жизни тебе пригодится “режим шёпота”?» ;" Не использовать упражнение как наказание за громкость; ограничивать по времени; хвалить даже за пару удачных задержек. ";" Спокойная обстановка; серия по 5–7 вопросов; лучше не проводить, когда ребёнок сильно перевозбуждён. "; Игра «Прошепчи ответ» как упражнение на саморегуляцию — адаптация ; Психологи ; 2018–2024 ; Описание игр «Прошепчи ответ», «Вопрос–ответ» для самоконтроля[web:83];"В играх о выборе не настаивайте на «единственно правильном» ответе; подчеркивайте, что важно думать о последствиях разных вариантов";;;
266; 7–9 лет ; Коммуникативная ; Вопрос–ответ с паузой ; Развивать умение слушать до конца и думать перед ответом ; Ребенок отвечает на вопросы только после короткой паузы, считающейся вслух или про себя ; 1. Объясните правило: после вопроса считаем до 3, и только потом отвечаем. 2. Задавайте вопросы разной сложности (про день, чувства, планы). 3. Можно дать ребёнку право самому считать до 3, прежде чем ответить. 4. Поменяйтесь ролями. ; Родитель–ребенок, группа ; «Что происходит с ответом, когда ты ждёшь пару секунд?», «Становится ли ответ другим?» ;" Не превращать в экзамен; не торопить; показать на собственном примере, как пауза помогает не сказать лишнего. ";" Спокойное время; начать с очень простых вопросов; можно адаптировать для семейных обсуждений. "; Упражнение «Вопрос–ответ» как техника торможения импульса — адаптация ; Психологи ; 2018–2024 ; Методические описания игр на саморегуляцию[web:83][web:82];"Не используйте стыд как инструмент («как тебе не стыдно»); отделяйте поступок от личности ребёнка";;;
267; 7–9 лет ; Творческая, эмоциональная ; Изобрази себя ; Поддерживать самопознание и принятие разных сторон себя ; Ребенок создаёт творческий автопортрет (рисунок, комикс, коллаж), отражающий его интересы, чувства, мечты ; 1. Предложите ребёнку не просто нарисовать лицо, а показать «меня» через символы: любимые занятия, важные люди, мечты. 2. Можно сделать это в формате комикса или «герба». 3. В конце попросите рассказать, что самое главное на этом портрете. 4. При желании добавьте подпись: «Я — это…». ; Родитель–ребенок, группа ; «Что на твоём портрете самое важное для тебя?», «Чего ты не стал(а) рисовать и почему?» ;" Не оценивать внешнюю похожесть; не критиковать выбор символов; не публиковать без согласия ребёнка. ";" Бумага, фломастеры, журналы; достаточно 30–40 минут; можно повторять раз в год, сравнивая изменения. "; Арт?техника «Изображение себя» для детей — адаптация под 7–9 лет ; Арт?терапевты ; 2020–2024 ; Описание техники «Изображение себя» в обзорах арт?терапии[web:126];"Если ребёнок явно устал или начал отвлекаться, не требуйте «доиграть до конца»; лучше сделать паузу или закончить на позитивной ноте";;;
268; 7–9 лет ; Подвижная, эмоциональная ; Внутренний метроном ; Развивать чувство ритма, самоконтроль и согласованность с другими ; Ребенок двигается или хлопает в общем ритме, а затем пробует менять ритм по сигналу ; 1. Начните с простого ритма хлопков или шагов (раз?два, раз?два). 2. Предложите ребёнку присоединиться и держать ритм. 3. Затем договоритесь о сигналах: ускориться, замедлиться, остановиться. 4. Поменяйтесь ролями, пусть ребёнок руководит ритмом. ; Родитель–ребенок, группа ; «Что сложнее — держать один и тот же ритм или менять его?», «Когда в жизни тебе помогает “внутренний метроном”?» ;" Следить, чтобы ритм не становился слишком быстрым; не ругать за сбои; использовать как мягкую разминку или «сбор внимания». ";" Любое свободное место; можно использовать хлопки, шаги, удары по столу; хорошо перед началом занятий. "; Игры для обучения саморегуляции через ритм — адаптация ; Психологи ; 2018–2025 ; Рекомендации по ритмическим играм для самоконтроля[web:77][web:90];"Не игнорируйте телесные сигналы ребёнка (напряжение, зажатость, молчание); предложите подвигаться, подышать или сменить активность";;;
269; 7–9 лет ; Эмоциональная, когнитивная ; Стоп?кадр ; Учить ребёнка «останавливать» ситуацию в голове и рассматривать её с разных сторон ; Ребенок выбирает момент из дня и делает из него «кадр», описывая, что видно, слышно и чувствуется ; 1. Попросите вспомнить яркий момент дня (приятный или сложный). 2. Скажите: «Представь, что это кадр фильма. Что на нём видно? Что слышно? Что ты чувствуешь?» 3. Можно этот кадр нарисовать. 4. Обсудите, что могло бы быть на следующем кадре, если бы он сделал другой выбор. ; Родитель–ребенок ; «Какой момент дня ты выбрал бы в стоп?кадр чаще всего?», «Что бы ты хотел менять в “следующих кадрах”?» ;" Не использовать технику, чтобы обвинять («видишь, надо было иначе»); создавать атмосферу исследования, а не суда; начинать с приятных кадров. ";" Спокойная обстановка; можно сочетать с рисованием или комиксами; хорошо подходит как вечерний ритуал. "; Психологические игры при эмоциональной нестабильности — развитие навыка рефлексии ; Психологи ; 2020–2024 ; Руководства по играм при эмоциональной нестабильности[web:36];"В конце обсуждения сложных тем не ставьте дополнительных школьных или бытовых задач; дайте время просто побыть в спокойствии";;;
